USAGE	MONTH
264.53	1
267.16	2
219.11	3
191.87	4
180.97	5
207.71	6
243.04	7
252.38	8
243.37	9
196.97	10
194.5	11
247.23	12
282.85	1
242.49	2
223.25	3
193.61	4
185.47	5
218.7	6
274.68	7
274.88	8
234.27	9
214.9	10
200.25	11
249.32	12
280.49	1
250.79	2
230.08	3
204.96	4
199.78	5
235.16	6
286.02	7
301.08	8
250.81	9
207.8	10
204.93	11
249.64	12
305.65	1
273.98	2
243.84	3
209.63	4
196.59	5
234.85	6
297.11	7
321.7	8
264.75	9
217.73	10
217.28	11
263.32	12
290.77	1
267.13	2
263.9	3
221.12	4
208.85	5
244.97	6
292.55	7
294.42	8
269.06	9
222.62	10
221.62	11
292.58	12
325.68	1
254.35	2
245.47	3
222.55	4
214.63	5
252.02	6
309.94	7
301.96	8
293.99	9
237.48	10
226.77	11
267.85	12
320.41	1
271.17	2
252.12	3
224.9	4
229.56	5
276.08	6
322.44	7
316.95	8
288.26	9
236.27	10
242.03	11
279.63	12
312.18	1
280.42	2
251.75	3
233.58	4
221.07	5
241.87	6
302.6	7
301.72	8
271.46	9
238.77	10
239.22	11
298.73	12
319.96	1
284.59	2
283.38	3
237.8	4
217.95	5
261.31	6
344.84	7
348.78	8
303.39	9
244.84	10
248.1	11
299.2	12
354.08	1
305.95	2
272.68	3
237.14	4
229.18	5
286.91	6
353.48	7
330.08	8
291.21	9
244.64	10
242.55	11
292.97	12
329.5	1
295.85	2
271.16	3
233.97	4
239.11	5
287.35	6
354.91	7
392.05	8
320.38	9
254.89	10
262.47	11
315.31	12
370.61	1
327.95	2
296.98	3
254.58	4
254.32	5
310.31	6
362.1	7
360.16	8
312.49	9
257.19	10
267	11
319.81	12
362.13	1
307.93	2
277.81	3
248.19	4
241.49	5
285.19	6
373.03	7
364.98	8
323.46	9
287.02	10
272.93	11
326.69	12
349.86	1
295.32	2
293.38	3
253.15	4
264.49	5
335.89	6
414.46	7
410.35	8
363.85	9
296.23	10
262.78	11
316.11	12
379.48	1
295.83	2
305.2	3
263.69	4
263.24	5
327.26	6
420.1	7
422.95	8
355.03	9
281.84	10
267.11	11
324.69	12
373.58	1
335.89	2
288.8	3
260.09	4
284.44	5
354.76	6
407.64	7
422.3	8
370.36	9
296.26	10
288.36	11
386.07	12
437.71	1
344.22	2
318.81	3
282.59	4
277.82	5
336.26	6
408.25	7
437.74	8
359.07	9
290.32	10
276.63	11
328.3	12
400.95	1
332.62	2
330.97	3
299.04	4
299.9	5
357.76	6
454.84	7
457.19	8
