tbill	msft	sp500	ge	ford	day	month	year
4.55	3.42	463.68	6.74	7.92	19	8	94
4.54	3.4	462.32	6.72	7.85	22	8	94
4.57	3.46	464.51	6.86	7.88	23	8	94
4.53	3.47	469.03	6.94	8.15	24	8	94
4.55	3.5	468.08	6.99	7.95	25	8	94
4.54	3.54	473.8	7.15	8.12	26	8	94
4.56	3.55	474.59	7.08	8.12	29	8	94
4.59	3.64	476.07	7.04	8.15	30	8	94
4.56	3.62	475.49	7.01	7.79	31	8	94
4.54	3.5	473.17	7.08	7.99	1	9	94
4.56	3.49	470.99	7.04	7.88	2	9	94
4.55	3.49	471.86	6.95	7.99	6	9	94
4.54	3.54	470.99	6.9	7.88	7	9	94
4.54	3.61	473.14	6.92	7.85	8	9	94
4.57	3.54	468.18	6.92	7.79	9	9	94
4.58	3.5	466.21	6.92	7.72	12	9	94
4.6	3.59	467.51	6.97	7.65	13	9	94
4.58	3.59	468.8	7.08	7.75	14	9	94
4.58	3.63	474.81	7.23	7.69	15	9	94
4.62	3.54	471.19	7.18	7.62	16	9	94
4.58	3.54	470.85	7.11	7.45	19	9	94
4.61	3.49	463.36	6.97	7.39	20	9	94
4.81	3.57	461.46	6.97	7.32	21	9	94
4.78	3.55	461.27	6.92	7.19	22	9	94
4.78	3.49	459.67	6.86	7.09	23	9	94
4.77	3.46	460.82	6.99	7.09	26	9	94
4.73	3.52	462.05	6.92	7.42	27	9	94
4.52	3.55	464.84	6.92	7.45	28	9	94
4.56	3.52	462.24	6.92	7.32	29	9	94
4.67	3.5	462.71	6.83	7.39	30	9	94
4.72	3.48	461.74	6.76	7.32	3	10	94
4.94	3.43	454.59	6.67	7.22	4	10	94
4.96	3.46	453.52	6.72	7.35	5	10	94
4.95	3.4	452.36	6.67	7.25	6	10	94
4.87	3.39	455.1	6.63	7.25	7	10	94
4.86	3.48	465.79	6.86	7.82	11	10	94
4.98	3.5	465.47	7.11	7.72	12	10	94
