Date	Day	Cases
1/1/2021	5	269
1/2/2021	6	257
1/3/2021	7	255
1/4/2021	1	140
1/5/2021	2	262
1/6/2021	3	316
1/7/2021	4	268
1/8/2021	5	357
1/9/2021	6	350
1/10/2021	7	334
1/11/2021	1	202
1/12/2021	2	430
1/13/2021	3	177
1/14/2021	4	220
1/15/2021	5	320
1/16/2021	6	397
1/17/2021	7	314
1/18/2021	1	182
1/19/2021	2	226
1/20/2021	3	144
1/21/2021	4	209
1/22/2021	5	293
1/23/2021	6	172
1/24/2021	7	224
1/25/2021	1	204
1/26/2021	2	195
1/27/2021	3	165
1/28/2021	4	267
1/29/2021	5	282
1/30/2021	6	248
1/31/2021	7	210
2/1/2021	1	136
2/2/2021	2	130
2/3/2021	3	61
2/4/2021	4	166
2/5/2021	5	269
2/6/2021	6	243
2/7/2021	7	158
2/8/2021	1	101
2/9/2021	2	145
2/10/2021	3	67
2/11/2021	4	185
2/12/2021	5	137
2/13/2021	6	126
2/14/2021	7	122
2/15/2021	1	83
2/16/2021	2	130
2/17/2021	3	49
2/18/2021	4	121
2/19/2021	5	160
2/20/2021	6	92
2/21/2021	7	95
2/22/2021	1	107
2/23/2021	2	89
2/24/2021	3	99
2/25/2021	4	179
2/26/2021	5	162
2/27/2021	6	194
2/28/2021	7	120
3/1/2021	1	86
3/2/2021	2	83
3/3/2021	3	51
3/4/2021	4	196
3/5/2021	5	108
3/6/2021	6	151
3/7/2021	7	146
3/8/2021	1	160
3/9/2021	2	331
3/10/2021	3	96
3/11/2021	4	122
3/12/2021	5	154
3/13/2021	6	150
3/14/2021	7	79
3/15/2021	1	112
3/16/2021	2	107
3/17/2021	3	81
3/18/2021	4	81
3/19/2021	5	142
3/20/2021	6	141
3/21/2021	7	54
3/22/2021	1	154
3/23/2021	2	105
3/24/2021	3	107
3/25/2021	4	74
3/26/2021	5	156
3/27/2021	6	226
3/28/2021	7	124
3/29/2021	1	73
3/30/2021	2	165
3/31/2021	3	100
4/1/2021	4	143
4/2/2021	5	151
4/3/2021	6	125
4/4/2021	7	105
4/5/2021	1	75
4/6/2021	2	122
4/7/2021	3	94
4/8/2021	4	170
4/9/2021	5	136
4/10/2021	6	128
4/11/2021	7	68
4/12/2021	1	73
4/13/2021	2	113
4/14/2021	3	193
4/15/2021	4	106
4/16/2021	5	134
4/17/2021	6	130
4/18/2021	7	83
4/19/2021	1	78
4/20/2021	2	129
4/21/2021	3	72
4/22/2021	4	99
4/23/2021	5	101
4/24/2021	6	78
4/25/2021	7	104
4/26/2021	1	55
4/27/2021	2	93
4/28/2021	3	62
4/29/2021	4	81
4/30/2021	5	83
